"Format","PiBoSo CSV File"
"Venue","Circuit International d'Essay"
"Vehicle","CRG Mini60"
"User","Antoine Celles"
"Data Source","Kart Racing Pro"
"Comment",""
"Date","10/31/23"
"Time","18:37:43"
"Sample Rate","10"
"Duration","297.298"
"Segment","Session"
"Beacon Markers","64.470, 122.202, 178.989, 236.464, 293.384"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","Throttle","Brake","FrontBrakes","Clutch","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","%","%","deg/s","m","m"

"0.002","43.049","2198","124.991264","0.000000","0","0.070633","0.002549","0.000202","-1.173652","16.666660","0.000000","0.000000","0.000000","0.000484","35.729687","136.618561"
"0.101","43.049","2177","124.556961","0.000000","0","0.545799","0.001613","0.014398","-1.173652","18.562508","0.000000","0.000000","0.000000","0.059395","35.729839","136.618393"
"0.200","43.049","2176","124.134369","0.000000","0","0.501256","-0.008634","0.023318","-1.173652","18.588047","0.000000","0.000000","0.000000","-0.042611","35.729771","136.617615"
"0.300","43.049","2176","123.705948","0.000000","0","0.304337","-0.000904","0.016425","-1.173652","18.588333","0.000000","0.000000","0.000000","-0.009988","35.729748","136.616974"
"0.400","43.049","2176","123.280342","0.000000","0","0.155313","0.007863","0.012276","-1.173652","18.588333","0.000000","0.000000","0.000000","-0.037215","35.729797","136.615738"
"0.500","43.049","2176","122.857521","0.000000","0","0.072014","-0.001117","-0.006098","-1.173652","18.588333","0.000000","0.000000","0.000000","-0.024257","35.729782","136.614365"
"0.601","43.049","2176","122.429100","0.000000","0","0.068112","0.000512","-0.001463","-1.173652","18.588333","0.000000","0.000000","0.000000","0.003734","35.729790","136.612732"
"0.701","43.049","2176","122.011864","0.000000","0","0.074280","-0.000033","0.022235","-1.173652","18.588333","0.000000","0.000000","0.000000","-0.065899","35.729790","136.611023"
"0.801","43.049","2176","121.597359","0.000000","0","0.076524","-0.001957","0.004270","-1.173652","18.588333","0.000000","0.000000","0.000000","-0.001186","35.729794","136.608795"
"0.901","43.049","2176","121.185562","0.000000","0","0.091569","0.001915","-0.002741","-1.173652","18.588333","0.000000","0.000000","0.000000","-0.032291","35.729797","136.606506"
"1.001","43.050","2176","120.776474","0.000000","0","0.094693","0.005777","-0.000352","-1.959726","18.588333","0.000000","0.000000","0.000000","-0.019765","35.729889","136.604202"
"1.101","43.050","2176","120.370064","0.000000","0","0.093161","-0.003509","-0.039115","-2.401892","18.588333","0.000000","0.000000","0.000000","-0.049180","35.729954","136.601563"
"1.201","43.050","2176","119.966316","0.000000","0","0.106959","-0.002634","0.002989","-2.620246","18.588333","0.000000","0.000000","0.000000","-0.008741","35.730007","136.598541"
"1.301","43.050","2176","119.565216","0.000000","0","0.115866","0.005422","0.000631","-2.969612","18.588333","0.000000","0.000000","0.000000","-0.070335","35.730072","136.595490"
"1.401","43.050","2176","119.166740","0.000000","0","0.117019","-0.000323","-0.001316","-3.324437","18.588333","0.000000","0.000000","0.000000","-0.046803","35.730145","136.592438"
"1.501","43.050","2176","118.770874","0.000000","0","0.121687","0.002243","-0.000278","-3.630133","18.588333","0.000000","0.000000","0.000000","-0.004648","35.730209","136.589386"
"1.601","43.050","2616","118.392952","0.000000","0","0.225316","-0.007693","0.158994","-3.892158","69.599220","0.000000","0.000000","0.000000","-0.104717","35.730274","136.585632"
"1.701","43.050","2851","118.090698","0.000000","0","1.150956","-0.007225","0.300717","-4.115970","100.000000","0.000000","0.000000","0.000000","-0.266545","35.730446","136.566818"
"1.801","43.051","2852","117.803070","0.000000","0","2.222543","-0.009513","0.312072","-4.290653","100.000000","0.000000","0.000000","0.000000","-0.492666","35.731113","136.519974"
"1.901","43.052","2852","117.517365","0.000000","0","3.296685","0.003622","0.302466","-4.290653","100.000000","0.000000","0.000000","0.000000","-0.844927","35.732357","136.443039"
"2.001","43.054","2852","117.233574","0.000000","0","4.367475","-0.009120","0.321254","-4.929338","100.000000","0.000000","0.000000","0.000000","-1.338844","35.734138","136.336319"
"2.101","43.058","2852","116.951683","0.000000","0","5.427268","-0.029438","0.307950","-8.286529","100.000000","0.000000","0.000000","0.000000","-3.157109","35.737598","136.200043"
"2.201","43.066","2851","116.671661","0.000000","0","6.436092","-0.046663","0.269736","-12.746406","100.000000","0.000000","0.000000","0.000000","-5.106384","35.745399","136.035156"
"2.301","43.078","2851","116.393501","0.000000","0","7.424876","-0.029142","0.281275","-13.516103","100.000000","0.000000","0.000000","0.000000","-6.870745","35.757317","135.842651"
"2.400","43.095","2851","116.122704","0.000000","0","8.380115","-0.057491","0.277611","-15.028204","100.000000","0.000000","0.000000","0.000000","-8.896954","35.773415","135.627853"
"2.500","43.119","2851","115.848183","0.000000","0","9.327071","-0.080463","0.287650","-16.654942","100.000000","0.000000","0.000000","0.000000","-10.864954","35.796959","135.382874"
"2.600","43.153","2851","115.575485","0.000000","0","10.238559","-0.096790","0.267115","-19.837448","100.000000","0.000000","0.000000","0.000000","-15.002666","35.829937","135.112793"
"2.700","43.200","2851","115.304581","0.000000","0","11.079581","-0.172851","0.205349","-24.586643","100.000000","0.000000","0.000000","0.000000","-22.480108","35.877140","134.819885"
"2.800","43.269","2851","115.035469","0.000000","0","11.904380","-0.221227","0.238998","-28.495176","100.000000","0.000000","0.000000","0.000000","-31.212425","35.945133","134.507248"
"2.900","43.365","2851","114.768127","0.000000","0","12.696366","-0.291335","0.218569","-32.905926","100.000000","0.000000","0.000000","0.000000","-41.099724","36.040245","134.178299"
"3.000","43.495","2851","114.502541","0.000000","0","13.489450","-0.351110","0.189581","-35.149513","100.000000","0.000000","0.000000","0.000000","-50.016895","36.169983","133.837570"
"3.100","43.665","2851","114.238693","0.000000","0","14.336221","-0.374562","0.213703","-35.062172","100.000000","0.000000","0.000000","0.000000","-50.766998","36.339138","133.488922"
"3.200","43.876","2851","113.976578","0.000000","0","15.169553","-0.368904","0.228103","-34.576332","100.000000","0.000000","0.000000","0.000000","-52.743576","36.549572","133.136078"
"3.300","44.130","2851","113.716179","0.000000","0","16.024988","-0.385693","0.217453","-31.350155","100.000000","0.000000","0.000000","0.000000","-49.707256","36.802536","132.783401"
"3.400","44.426","2851","113.457481","0.000000","0","16.866014","-0.364293","0.208040","-30.580458","100.000000","0.000000","0.000000","0.000000","-46.612289","37.097637","132.433670"
"3.500","44.763","2942","113.202560","0.000000","0","17.638466","-0.443197","0.184259","-30.755138","100.000000","0.000000","0.000000","0.000000","-52.321335","37.434494","132.092026"
"3.600","45.146","3039","112.954735","0.000000","0","18.433879","-0.501920","0.195654","-31.459332","100.000000","0.000000","0.000000","0.000000","-54.097290","37.816792","131.767227"
"3.700","45.576","3156","112.714203","0.000000","0","19.226263","-0.580120","0.197712","-31.350155","100.000000","0.000000","0.000000","0.000000","-59.802986","38.246231","131.467606"
"3.800","46.054","3274","112.481506","0.000000","0","20.066770","-0.569873","0.218208","-30.776976","100.000000","0.000000","0.000000","0.000000","-60.743767","38.723751","131.202026"
"3.900","46.578","3402","112.257088","0.000000","0","20.905642","-0.633089","0.205375","-30.231092","100.000000","0.000000","0.000000","0.000000","-61.431267","39.247349","130.977463"
"4.000","47.145","3520","112.040947","0.000000","0","21.772904","-0.649760","0.218467","-28.293201","100.000000","0.000000","0.000000","0.000000","-60.122971","39.813698","130.800613"
"4.100","47.750","3597","111.831589","0.000000","0","22.700892","-0.620603","0.227417","-24.739492","100.000000","0.000000","0.000000","0.000000","-50.595921","40.418705","130.674118"
"4.200","48.390","3651","111.627068","0.000000","0","23.676996","-0.407919","0.270760","-19.575422","100.000000","0.000000","0.000000","0.000000","-37.653706","41.058002","130.592697"
"4.300","49.060","3718","111.426918","0.000000","0","24.663191","-0.220128","0.276715","-14.984533","100.000000","0.000000","0.000000","0.000000","-25.803434","41.728146","130.544266"
"4.400","49.758","3844","111.233688","0.000000","0","25.630417","-0.246289","0.267229","-12.855584","100.000000","0.000000","0.000000","0.000000","-21.541813","42.426559","130.518555"
"4.500","50.484","3986","111.049675","0.000000","0","26.605381","-0.254487","0.271324","-12.216899","100.000000","0.000000","0.000000","0.000000","-20.669031","43.152241","130.515259"
"4.600","51.237","4130","110.875534","0.000000","0","27.600113","-0.253997","0.268705","-11.381695","100.000000","0.000000","0.000000","0.000000","-20.186678","43.905075","130.537628"
"4.700","52.017","4269","110.711403","0.000000","0","28.634079","-0.198467","0.299692","-8.816037","100.000000","0.000000","0.000000","0.000000","-16.958059","44.685009","130.585861"
"4.800","52.824","4400","110.556923","0.000000","0","29.714265","0.030513","0.304745","0.359326","100.000000","0.000000","0.000000","0.000000","-4.359995","45.493008","130.651016"
"4.900","53.663","4577","110.413345","0.000000","0","30.783969","0.283452","0.355708","10.011363","100.000000","0.000000","0.000000","0.000000","13.119493","46.331451","130.706543"
"5.000","54.530","4732","110.281845","0.000000","0","31.791169","0.375877","0.287987","10.995362","100.000000","0.000000","0.000000","0.000000","20.823750","47.198849","130.736877"
"5.101","55.448","4918","110.160561","0.000000","0","32.942295","0.423716","0.293904","11.758239","100.000000","0.000000","0.000000","0.000000","22.178658","48.116295","130.731827"
"5.201","56.377","5079","110.054634","0.000000","0","34.014815","0.388518","0.306336","12.791990","100.000000","0.000000","0.000000","0.000000","24.889818","49.045330","130.688065"
"5.301","57.334","5231","109.960648","0.000000","0","35.148779","0.368770","0.321234","9.292712","100.000000","0.000000","0.000000","0.000000","22.258396","50.002342","130.603958"
"5.401","58.320","5375","109.877411","0.000000","0","36.326215","0.288000","0.326979","8.999723","100.000000","0.000000","0.000000","0.000000","15.173067","50.988411","130.485229"
"5.501","59.333","5602","109.807518","0.000000","0","37.380226","0.534956","0.277878","17.231043","100.000000","0.000000","0.000000","0.000000","31.005781","52.000607","130.328110"
"5.601","60.362","5856","109.756119","0.000000","0","38.351757","0.797074","0.264535","20.354412","100.000000","0.000000","0.000000","0.000000","46.003109","53.029713","130.109894"
"5.701","61.399","6041","109.720802","0.000000","0","39.355300","0.893467","0.293317","20.641872","100.000000","0.000000","0.000000","0.000000","48.405975","54.066078","129.808899"
"5.801","62.436","6175","109.696777","0.000000","0","40.433121","0.883002","0.325063","15.638955","100.000000","0.000000","0.000000","0.000000","46.127991","55.101738","129.416199"
"5.901","63.471","6204","109.678978","0.000000","0","41.674669","0.547002","0.352275","8.369522","100.000000","0.000000","0.000000","0.000000","21.040852","56.136314","128.937012"
"6.001","64.517","6313","109.664627","0.000000","0","42.947720","0.187568","0.358519","2.719818","100.000000","0.000000","0.000000","0.000000","9.826171","57.181335","128.398346"
"6.101","65.587","6485","109.660347","0.000000","0","44.191365","-0.098611","0.346521","-2.598411","100.000000","0.000000","0.000000","0.000000","-1.677551","58.250778","127.830887"
"6.201","66.189","6676","109.667923","0.000000","0","45.397029","-0.307878","0.337718","-6.970947","100.000000","0.000000","0.000000","0.000000","-13.363480","59.356468","127.259262"
