"Format","PiBoSo CSV File"
"Venue","Circuit International d'Essay - Short"
"Vehicle","CRG Mini60"
"User","Another Stig"
"Data Source","Kart Racing Pro"
"Comment",""
"Date","11/19/23"
"Time","16:57:27"
"Sample Rate","10"
"Duration","387.398"
"Segment","Session"
"Beacon Markers","46.014, 86.776, 127.575, 168.513, 209.304, 249.994, 290.632, 331.401, 379.036"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","Throttle","Brake","FrontBrakes","Clutch","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","%","%","deg/s","m","m"

"0.002","43.059","2279","124.992592","0.000000","0","0.070633","0.002551","0.000202","-0.485837","100.000000","0.000000","0.000000","0.000000","0.000490","35.748440","136.618484"
"0.101","43.060","2853","124.656502","0.000000","0","1.264255","0.001756","1.455124","-0.485837","100.000000","0.000000","0.000000","0.000000","-10.187756","35.748657","136.606125"
"0.200","43.060","2853","124.332893","0.000000","0","2.100003","0.022814","0.303640","-0.485837","100.000000","0.000000","0.000000","0.000000","-0.001581","35.749146","136.565338"
"0.300","43.060","2853","124.004868","0.000000","0","3.150900","-0.003969","0.284790","-0.485837","100.000000","0.000000","0.000000","0.000000","0.182957","35.749321","136.492935"
"0.400","43.061","2853","123.679031","0.000000","0","4.231592","-0.008146","0.310171","-0.485837","100.000000","0.000000","0.000000","0.000000","0.061941","35.749538","136.390381"
"0.500","43.062","2853","123.355377","0.000000","0","5.304360","0.002434","0.295909","-0.485837","100.000000","0.000000","0.000000","0.000000","0.045066","35.750053","136.257813"
"0.601","43.063","2853","123.027473","0.000000","0","6.401601","-0.001736","0.321345","-0.485837","100.000000","0.000000","0.000000","0.000000","-0.077690","35.750633","136.091705"
"0.701","43.064","2853","122.708153","0.000000","0","7.471952","0.002968","0.301579","-0.485837","100.000000","0.000000","0.000000","0.000000","-0.216001","35.751266","135.898788"
"0.801","43.065","2853","122.390961","0.000000","0","8.544293","0.006538","0.315278","-0.485837","100.000000","0.000000","0.000000","0.000000","-0.251538","35.752121","135.676132"
"0.901","43.066","2853","122.075874","0.000000","0","9.611382","-0.001833","0.313296","-0.485837","100.000000","0.000000","0.000000","0.000000","-0.241602","35.753174","135.423767"
"1.001","43.068","2853","121.762871","0.000000","0","10.672586","-0.003799","0.284667","-0.551344","100.000000","0.000000","0.000000","0.000000","-0.285561","35.754475","135.141785"
"1.101","43.071","2853","121.451935","0.000000","0","11.734080","-0.004477","0.294744","-0.775156","100.000000","0.000000","0.000000","0.000000","-0.518078","35.756168","134.830246"
"1.201","43.074","2853","121.143051","0.000000","0","12.797386","-0.068972","0.291791","-4.268818","100.000000","0.000000","0.000000","0.000000","-2.166564","35.758972","134.489227"
"1.301","43.090","2853","120.836205","0.000000","0","13.734668","-0.300637","0.229099","-23.440287","100.000000","0.000000","0.000000","0.000000","-17.559923","35.774326","134.120102"
"1.401","43.142","2853","120.530891","0.000000","0","14.339104","-0.491188","0.110031","-40.395462","100.000000","0.000000","0.000000","0.000000","-60.438622","35.825741","133.732697"
"1.501","43.251","2853","120.228065","0.000000","0","15.112542","-0.626253","0.201620","-44.418633","100.000000","0.000000","0.000000","0.000000","-76.538483","35.933815","133.337311"
"1.601","43.423","2879","119.927429","0.000000","0","15.934632","-0.618580","0.169373","-47.732151","100.000000","0.000000","0.000000","0.000000","-78.237747","36.105244","132.939728"
"1.701","43.661","3000","119.633080","0.000000","0","16.670876","-0.709009","0.155853","-49.730091","100.000000","0.000000","0.000000","0.000000","-90.438995","36.341686","132.551727"
"1.801","43.966","3107","119.347122","0.000000","0","17.468390","-0.772207","0.175446","-48.807545","100.000000","0.000000","0.000000","0.000000","-92.706993","36.646580","132.187012"
"1.901","44.342","3214","119.068695","0.000000","0","18.282107","-0.827028","0.172367","-47.448292","100.000000","0.000000","0.000000","0.000000","-94.381210","37.021397","131.859772"
"2.001","44.783","3340","118.798386","0.000000","0","19.088141","-0.896959","0.168186","-46.061749","100.000000","0.000000","0.000000","0.000000","-95.674988","37.461876","131.583481"
"2.101","45.283","3470","118.536667","0.000000","0","19.896726","-0.931133","0.165322","-45.117363","100.000000","0.000000","0.000000","0.000000","-96.814148","37.961254","131.372009"
"2.201","45.831","3605","118.284058","0.000000","0","20.741762","-0.956831","0.237324","-39.058044","100.000000","0.000000","0.000000","0.000000","-97.822792","38.509869","131.238571"
"2.301","46.420","3593","118.037529","0.000000","0","21.848979","-0.738480","0.325899","-24.144478","100.000000","0.000000","0.000000","0.000000","-66.864777","39.098831","131.185211"
"2.400","47.033","3445","117.791100","0.000000","0","23.047176","-0.003098","0.271048","-9.252745","100.000000","0.000000","0.000000","0.000000","-9.645681","39.711147","131.182343"
"2.500","47.687","3585","117.541809","0.000000","0","24.066558","0.010241","0.289336","-2.336386","100.000000","0.000000","0.000000","0.000000","-7.471343","40.365540","131.181824"
"2.600","48.370","3737","117.302528","0.000000","0","25.102871","-0.046274","0.289770","-2.489234","100.000000","0.000000","0.000000","0.000000","-2.734224","41.048679","131.177002"
"2.700","49.082","3888","117.073418","0.000000","0","26.143908","-0.063983","0.285772","-2.183539","100.000000","0.000000","0.000000","0.000000","-3.664868","41.760796","131.176712"
"2.800","49.824","4039","116.854759","0.000000","0","27.203125","-0.041351","0.296719","-1.763207","100.000000","0.000000","0.000000","0.000000","-3.273667","42.502068","131.180710"
"2.900","50.594","4194","116.646965","0.000000","0","28.271692","-0.057602","0.297916","-2.118032","100.000000","0.000000","0.000000","0.000000","-3.386845","43.272697","131.188583"
"3.000","51.395","4351","116.450417","0.000000","0","29.355321","-0.063709","0.310410","-2.074362","100.000000","0.000000","0.000000","0.000000","-3.622387","44.073341","131.201904"
"3.100","52.226","4510","116.265495","0.000000","0","30.449707","-0.051066","0.311653","-0.682356","100.000000","0.000000","0.000000","0.000000","-2.399927","44.904095","131.220184"
"3.200","53.087","4668","116.092270","0.000000","0","31.554173","0.066125","0.319618","1.459415","100.000000","0.000000","0.000000","0.000000","1.754278","45.765228","131.238510"
"3.300","53.979","4828","115.931190","0.000000","0","32.679911","0.041958","0.324646","2.404717","100.000000","0.000000","0.000000","0.000000","3.194281","46.657333","131.252365"
"3.400","54.901","4987","115.781372","0.000000","0","33.832428","0.096368","0.387183","3.145481","100.000000","0.000000","0.000000","0.000000","6.976003","47.579460","131.259003"
"3.500","55.858","5182","115.645378","0.000000","0","34.993209","0.225279","0.305433","7.899635","100.000000","0.000000","0.000000","0.000000","9.508793","48.536491","131.253540"
"3.600","56.843","5460","115.525978","0.000000","0","35.931809","0.659841","0.230736","25.871441","100.000000","0.000000","0.000000","0.000000","40.106110","49.521763","131.213898"
"3.700","57.847","5749","115.430107","0.000000","0","36.785955","0.988263","0.265598","22.842051","100.000000","0.000000","0.000000","0.000000","62.280815","50.525177","131.103714"
"3.800","58.863","5826","115.348351","0.000000","0","37.897892","0.958293","0.336104","15.821382","100.000000","0.000000","0.000000","0.000000","44.146141","51.541016","130.897644"
"3.900","59.890","5904","115.270515","0.000000","0","39.030119","0.797350","0.307988","19.094007","100.000000","0.000000","0.000000","0.000000","37.217213","52.567165","130.599243"
"4.000","60.919","6139","115.204605","0.000000","0","39.988360","0.916847","0.277011","24.257240","100.000000","0.000000","0.000000","0.000000","51.781883","53.595310","130.214584"
"4.100","61.937","6329","115.154755","0.000000","0","40.961361","0.999527","0.292860","19.386997","100.000000","0.000000","0.000000","0.000000","56.144398","54.612785","129.737778"
"4.200","62.937","6423","115.115128","0.000000","0","42.089008","0.998146","0.367936","13.892079","100.000000","0.000000","0.000000","0.000000","41.110451","55.611286","129.161392"
"4.300","63.922","6404","115.078156","0.000000","0","43.404311","0.362594","0.419048","-0.196518","100.000000","0.000000","0.000000","0.000000","11.448721","56.594872","128.497192"
"4.400","64.930","6660","115.046127","0.000000","0","44.463321","-0.606867","0.235875","-20.585310","100.000000","0.000000","0.000000","0.000000","-29.661825","57.601311","127.804008"
"4.500","65.804","6957","115.034576","0.000000","0","45.330215","-1.049514","0.255555","-26.650087","100.000000","0.000000","0.000000","0.000000","-55.731529","58.663521","127.150620"
"4.600","66.433","7173","115.037392","0.000000","0","46.138980","-1.229653","0.267770","-26.164251","100.000000","0.000000","0.000000","0.000000","-63.928062","59.796120","126.576759"
"4.700","67.114","7288","115.048470","0.000000","0","46.980066","-1.297055","0.277348","-25.285378","100.000000","0.000000","0.000000","0.000000","-59.869984","60.998726","126.103951"
"4.800","67.836","7405","115.064972","0.000000","0","47.781769","-1.333742","0.271287","-25.307211","100.000000","0.000000","0.000000","0.000000","-58.163460","62.263657","125.744865"
"4.900","68.585","7515","115.086395","0.000000","0","48.573595","-1.369735","0.286495","-19.728271","100.000000","0.000000","0.000000","0.000000","-56.856312","63.579636","125.509415"
"5.000","69.349","7406","115.103271","0.000000","0","49.665306","-1.017710","0.359920","-1.741372","86.119255","0.000000","0.000000","0.000000","-23.835083","64.937958","125.397606"
"5.101","70.135","7056","114.955353","0.000000","0","50.206675","0.325610","0.000029","7.877522","37.438904","0.000000","0.000000","0.000000","21.128456","66.355209","125.350555"
"5.201","70.900","6851","114.657379","0.000000","0","49.890258","0.599900","-0.151618","9.359050","8.211144","0.000000","0.000000","0.000000","19.181145","67.744324","125.281548"
"5.301","71.653","6796","114.283920","0.000000","0","48.924203","0.904126","-0.337718","21.858051","0.000000","0.000000","0.000000","0.000000","40.031094","69.111610","125.150078"
"5.401","72.389","6805","113.906563","0.000000","0","47.613356","1.216071","-0.406744","32.444336","0.000000","0.000000","0.000000","0.000000","71.721649","70.433212","124.928650"
"5.501","73.103","6820","113.531517","0.000000","0","46.015123","1.610120","-0.363417","35.252602","0.000000","0.000000","0.000000","0.000000","97.390358","71.687248","124.590996"
"5.601","73.792","6592","113.158760","0.000000","0","44.350025","1.690091","-0.312470","33.699211","0.000000","0.000000","0.000000","0.000000","100.978317","72.847221","124.121124"
"5.701","74.448","6300","112.788284","0.000000","0","42.523802","1.736478","-0.299539","35.158627","0.000000","0.000000","0.000000","0.000000","100.769142","73.892204","123.526978"
"5.801","75.063","6363","112.475662","0.000000","0","40.690568","1.693372","-0.065458","32.422222","52.297165","0.000000","0.000000","0.000000","104.157173","74.801674","122.826096"
"5.901","75.641","6469","112.371315","0.000000","0","40.021854","1.838823","0.212590","20.663984","78.757492","0.000000","0.000000","0.000000","96.894897","75.575699","122.024124"
"6.001","76.183","6370","112.285805","0.000000","0","39.579301","1.702526","0.293591","10.011363","84.698738","0.000000","0.000000","0.000000","77.918388","76.210381","121.127754"
"6.101","76.686","6386","112.241867","0.000000","0","39.697538","1.601007","0.431819","2.360493","100.000000","0.000000","0.000000","0.000000","59.628609","76.702812","120.149521"
"6.201","77.153","6234","112.215584","0.000000","0","40.362211","1.547065","0.436621","0.381438","100.000000","0.000000","0.000000","0.000000","21.434036","77.053612","119.098015"
